Bundesland,URL,API,API_Format,API_URL
Baden-Württemberg,https://www.kvbawue.de/index.php?id=1102,No,,
Bayern,https://www.stmgp.bayern.de/coronavirus/bayerische-teststrategie/,No,,
Berlin,https://test-to-go.berlin/,No,,
Brandenburg,https://brandenburg-testet.de/bb-testet/de/,No,,
Bremen,https://www.gesundheit.bremen.de/gesundheit/corona/corona_ambulanz-32720,No,,
Hamburg,https://www.hamburg.de/corona-schnelltest/,Yes,JSON,https://suche.transparenz.hamburg.de/api/3/action/package_show?id=corona-testzentren-hamburg
Hessen,https://www.corona-test-hessen.de/?action=Daten,Yes,XML,https://www.corona-test-hessen.de/data/corona-test-hessen.xml?v=22836BA9C360BE1022B689D6DCA16813
Mecklenburg-Vorpommern,https://www.regierung-mv.de/Landesregierung/wm/Aktuelles--Blickpunkte/Wichtige-Informationen-zu-Corona-Virus-Testzentren/,Yes,JSON,https://www.regierung-mv.de/gaialight-apps/testzentren/_gaia_json.php
Niedersachsen,https://www.niedersachsen.de/Coronavirus/Testunghinweise-zur-testung-auf-corona-198156.html#wo,No,,
Nordrhein-Westfalen,https://www1.wdr.de/nachrichten/themen/coronavirus/corona-schnelltest-kostenlos-teststellen-100.html,No,,
Rheinland-Pfalz,https://covid-19-support.lsjv.rlp.de/hilfe/covid-19-test-dashboard/,Yes,CSV,No stable URL
Saarland,https://www.saarland.de/DE/portale/corona/impfungtest/testzentrum/testmoeglichkeiten/schnelltestskommunen.html,No,,
Sachsen,https://www.coronavirus.sachsen.de/coronatests-in-sachsen-9448.html,Yes,XLSX,https://www.coronavirus.sachsen.de/download/Testmoeglichkeiten.xlsx
Sachsen-Anhalt,https://coronavirus.sachsen-anhalt.de/angebote-fuer-schnelltests/suche-nach-testzentren/?no_cache=1,No,,
Schleswig-Holstein,https://www.schleswig-holstein.de/DE/Schwerpunkte/Coronavirus/Allgemeines/TeststationenKarte/teststationen_node.html?lang=de,No,,
Thüringen,https://www.tmasgff.de/covid-19/tests,No,,
